Year,House Count,Unemployment Rate,Materials Inflation Rate,Mortgage Interest Rate
1950,1425,5.38410256092365,101.09886350342722,2.069166660308838
1951,1048,5.38410256092365,101.09886350342722,2.5549999872843423
1952,2629,5.38410256092365,101.09886350342722,3.0
1953,1452,5.38410256092365,101.09886350342722,3.1691666642824807
1954,2203,5.38410256092365,101.09886350342722,3.052500009536743
1955,800,5.38410256092365,101.09886350342722,3.1566666762034097
1956,680,5.38410256092365,101.09886350342722,3.7700000007947287
1957,1070,5.38410256092365,101.09886350342722,4.201666673024495
1958,1216,5.38410256092365,101.09886350342722,3.8333333333333335
1959,1308,5.38410256092365,101.09886350342722,4.4775000015894575
1960,2029,5.38410256092365,101.09886350342722,4.820833325386047
1961,1341,5.38410256092365,101.09886350342722,4.5
1962,1859,5.38410256092365,101.09886350342722,4.5
1963,2119,5.38410256092365,101.09886350342722,4.5
1964,3102,5.38410256092365,101.09886350342722,4.5
1965,2975,5.38410256092365,101.09886350342722,4.535000006357829
1966,2217,5.38410256092365,101.09886350342722,5.625
1967,2400,5.38410256092365,101.09886350342722,5.633333325386047
1968,2425,5.38410256092365,101.09886350342722,6.31249996026357
1969,3293,5.38410256092365,101.09886350342722,7.951666593551636
1970,5134,5.38410256092365,101.09886350342722,7.910000046094258
1971,4944,5.38410256092365,101.09886350342722,5.723333358764648
1972,6079,5.38410256092365,101.09886350342722,5.24833329518636
1973,4396,5.38410256092365,101.09886350342722,8.021666606267294
1974,7121,5.38410256092365,101.09886350342722,10.798333406448364
1975,7273,5.38410256092365,101.09886350342722,7.862500071525574
1976,6358,5.38410256092365,101.09886350342722,6.839999993642171
1977,7424,5.38410256092365,101.09886350342722,6.824166655540466
1978,8713,5.38410256092365,101.09886350342722,9.056666652361551
1979,4228,5.38410256092365,101.09886350342722,12.665833314259848
1980,2775,5.38410256092365,101.09886350342722,15.265833218892416
1981,8341,5.38410256092365,101.09886350342722,18.870000044504803
1982,13066,5.38410256092365,101.09886350342722,14.860833406448364
1983,20477,5.38410256092365,101.09886350342722,10.794166644414267
1984,9830,5.38410256092365,101.09886350342722,12.042500178019205
1985,6177,5.38410256092365,101.09886350342722,9.93333331743876
1986,2728,5.38410256092365,101.09886350342722,8.332500020662943
1987,783,5.38410256092365,101.09886350342722,8.203333298365274
1988,734,5.38410256092365,101.09886350342722,9.315000057220459
1989,657,5.38410256092365,101.09886350342722,10.873333295186361
1990,1158,5.223076930412879,101.09886350342722,10.009166638056437
1991,1737,6.638461553133451,101.09886350342722,8.463333368301392
1992,1758,7.107692315028264,101.09886350342722,6.2516666650772095
1993,2559,5.94615389750554,101.09886350342722,6.0
1994,2352,5.507692337036133,101.09886350342722,7.138333280881246
1995,2282,5.253846168518066,101.09886350342722,8.829166650772095
1996,2721,5.330769282120925,101.09886350342722,8.270833333333334
1997,3129,5.230769230769231,101.09886350342722,8.44166668256124
1998,3757,4.484615325927734,101.09886350342722,8.354166626930237
1999,3691,4.607692315028264,101.09886350342722,7.9941666920979815
2000,2911,5.099999941312349,101.09886350342722,9.233333269755045
2001,4475,5.038461501781757,101.09886350342722,6.921666701634725
2002,4602,5.830769208761362,101.09886350342722,4.674999992052714
2003,5304,6.315384608048659,101.09886350342722,4.122499982515971
2004,3888,5.923076923076923,101.09886350342722,4.34166665871938
2005,3874,5.492307626284086,101.09886350342722,6.18666668732961
2006,3039,5.307692344372089,101.09886350342722,7.957500060399373
2007,2284,5.100000051351694,101.09886350342722,8.049999952316284
2008,1564,5.438461560469407,101.09886350342722,5.0874999562899275
2009,1283,6.523076901069055,99.86363567005505,3.25
2010,1209,6.569230739886944,98.8166675567627,3.25
2011,1022,5.946153787466196,107.1416670481364,3.25
2012,1290,5.3615384835463304,103.46666653951009,3.25
2013,1343,5.200000029343825,97.94999885559082,3.25
2014,1500,5.1999999926640434,95.58333206176758,3.25
2015,1117,5.03846157514132,97.70833333333333,3.259999990463257
2016,906,5.507692300356352,102.97500038146973,3.5116666754086814
2017,504,5.815384608048659,102.7666670481364,4.096666693687439
2018,529,5.484615289247953,104.71666653951009,4.90416665871938
